"﻿""Series""";Time;Value
yzh mirror;2025-07-16T01:30:00+08:00;1763.9480091762875
yzh mirror;2025-07-16T01:40:00+08:00;2007.008076771154
yzh mirror;2025-07-16T01:50:00+08:00;1418.7027164541778
yzh mirror;2025-07-16T02:00:00+08:00;2629.8798244080695
yzh mirror;2025-07-16T02:10:00+08:00;2264.4224925706644
yzh mirror;2025-07-16T02:20:00+08:00;1785.5772836581496
yzh mirror;2025-07-16T02:30:00+08:00;3510.6816650784754
yzh mirror;2025-07-16T02:40:00+08:00;954.7453746687819
yzh mirror;2025-07-16T02:50:00+08:00;1650.206216346639
yzh mirror;2025-07-16T03:00:00+08:00;1489.7094981720898
yzh mirror;2025-07-16T03:10:00+08:00;4104.597977211815
yzh mirror;2025-07-16T03:20:00+08:00;1499.0439318835547
yzh mirror;2025-07-16T03:30:00+08:00;2070.6189556243417
yzh mirror;2025-07-16T03:40:00+08:00;3442.3848066532028
yzh mirror;2025-07-16T03:50:00+08:00;822.9992215899242
yzh mirror;2025-07-16T04:00:00+08:00;868.9467699723359
yzh mirror;2025-07-16T04:10:00+08:00;3677.343133556298
yzh mirror;2025-07-16T04:20:00+08:00;2475.929485528938
yzh mirror;2025-07-16T04:30:00+08:00;3778.3552166368167
yzh mirror;2025-07-16T04:40:00+08:00;4607.493030944061
yzh mirror;2025-07-16T04:50:00+08:00;2273.0384784932253
yzh mirror;2025-07-16T05:00:00+08:00;8586.257546814122
yzh mirror;2025-07-16T05:10:00+08:00;6047.935135016429
yzh mirror;2025-07-16T05:20:00+08:00;4252.731755973454
yzh mirror;2025-07-16T05:30:00+08:00;4348.346652061216
yzh mirror;2025-07-16T05:40:00+08:00;4764.426655018324
yzh mirror;2025-07-16T05:50:00+08:00;4755.3046273394175
yzh mirror;2025-07-16T06:00:00+08:00;2444.4345841160457
yzh mirror;2025-07-16T06:10:00+08:00;2351.2076313918906
yzh mirror;2025-07-16T06:20:00+08:00;3826.2898594792405
yzh mirror;2025-07-16T06:30:00+08:00;4159.978511226482
yzh mirror;2025-07-16T06:40:00+08:00;4322.95186241308
yzh mirror;2025-07-16T06:50:00+08:00;3837.7428687637093
yzh mirror;2025-07-16T07:00:00+08:00;2684.6514858183114
yzh mirror;2025-07-16T07:10:00+08:00;2101.15024004704
yzh mirror;2025-07-16T07:20:00+08:00;4740.900407001318
yzh mirror;2025-07-16T07:30:00+08:00;3350.2239869857176
yzh mirror;2025-07-16T07:40:00+08:00;2787.692893117568
yzh mirror;2025-07-16T07:50:00+08:00;2621.8368144363835
yzh mirror;2025-07-16T08:00:00+08:00;2432.812089866407
yzh mirror;2025-07-16T08:10:00+08:00;2276.8222841544693
yzh mirror;2025-07-16T08:20:00+08:00;2140.5887928619914
yzh mirror;2025-07-16T08:30:00+08:00;1873.137927705671
yzh mirror;2025-07-16T08:40:00+08:00;2304.97898931622
yzh mirror;2025-07-16T08:50:00+08:00;2349.217612781088
yzh mirror;2025-07-16T09:00:00+08:00;2268.9501838656934
yzh mirror;2025-07-16T09:10:00+08:00;1808.1931264120135
yzh mirror;2025-07-16T09:20:00+08:00;1852.3356693299131
yzh mirror;2025-07-16T09:30:00+08:00;1794.4378944228265
yzh mirror;2025-07-16T09:40:00+08:00;2122.162217514902
yzh mirror;2025-07-16T09:50:00+08:00;2452.652505971553
yzh mirror;2025-07-16T10:00:00+08:00;2182.841233850443
yzh mirror;2025-07-16T10:10:00+08:00;1346.6067198423295
